"Step","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_13-53-37_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_13-53-37_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_13-53-37_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_05-16-38_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward","2025-05-22_05-16-38_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_05-16-38_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_05-16-26_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward","2025-05-22_05-16-26_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_05-16-26_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_05-16-09_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward","2025-05-22_05-16-09_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_05-16-09_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval__MAX"
"5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","447.6628446829234","447.6628446829234","447.6628446829234","528.0702367561765","528.0702367561765","528.0702367561765","467.0600977419452","467.0600977419452","467.0600977419452"
"10000","","","","","","","","","","","","","","","","","","","","","","","","","","","","582.0048908921793","582.0048908921793","582.0048908921793","556.0198988143775","556.0198988143775","556.0198988143775","413.4566337475523","413.4566337475523","413.4566337475523"
"15000","","","","","","","","","","","","","","","","","","","","","","","","","","","","531.520103317796","531.520103317796","531.520103317796","652.2179213738654","652.2179213738654","652.2179213738654","614.2509339025332","614.2509339025332","614.2509339025332"
"20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","625.8416073395967","625.8416073395967","625.8416073395967","690.916551399714","690.916551399714","690.916551399714","642.7789882484028","642.7789882484028","642.7789882484028"
"25000","","","","","","","","","","","","","","","","","","","","","","","","","","","","661.6852888795613","661.6852888795613","661.6852888795613","832.300660444107","832.300660444107","832.300660444107","777.313888802581","777.313888802581","777.313888802581"
"30000","","","","","","","","","","","","","","","","","","","","","","","","","","","","675.2266868895282","675.2266868895282","675.2266868895282","811.281054772835","811.281054772835","811.281054772835","934.0843611025211","934.0843611025211","934.0843611025211"
"35000","","","","","","","","","","","","","","","","","","","","","","","","","","","","966.1050444210532","966.1050444210532","966.1050444210532","776.2393548378349","776.2393548378349","776.2393548378349","854.6962300696381","854.6962300696381","854.6962300696381"
"40000","","","","","","","","","","","","","","","","","","","","","","","","","","","","974.0091311267337","974.0091311267337","974.0091311267337","874.1262748666342","874.1262748666342","874.1262748666342","724.2649095100936","724.2649095100936","724.2649095100936"
"45000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1109.8829775872136","1109.8829775872136","1109.8829775872136","988.4585384887725","988.4585384887725","988.4585384887725","904.6896242153159","904.6896242153159","904.6896242153159"
"50000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1170.7429251770486","1170.7429251770486","1170.7429251770486","1214.212664813002","1214.212664813002","1214.212664813002","1106.4697051501412","1106.4697051501412","1106.4697051501412"
"55000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.7138546397377","1200.7138546397377","1200.7138546397377","836.5061870958834","836.5061870958834","836.5061870958834","1330.8010190960854","1330.8010190960854","1330.8010190960854"
"60000","","","","","","","","","","","","","","","","","","","","","","","","","","","","825.594836850553","825.594836850553","825.594836850553","922.2201963718411","922.2201963718411","922.2201963718411","803.7060773854593","803.7060773854593","803.7060773854593"
"65000","","","","","","","","","","","","","","","","","","","","","","","","","","","","999.9192384884952","999.9192384884952","999.9192384884952","960.8049988408214","960.8049988408214","960.8049988408214","890.2504590997772","890.2504590997772","890.2504590997772"
"70000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.481793969103","1200.481793969103","1200.481793969103","1085.7376745671327","1085.7376745671327","1085.7376745671327","1216.0808584376814","1216.0808584376814","1216.0808584376814"
"75000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1137.2171503783254","1137.2171503783254","1137.2171503783254","1066.3379446740519","1066.3379446740519","1066.3379446740519","1998.762272110255","1998.762272110255","1998.762272110255"
"80000","","","","","","","","","","","","","","","","","","","","","","","","","","","","972.1772759825096","972.1772759825096","972.1772759825096","1442.3757494530876","1442.3757494530876","1442.3757494530876","1596.686931333352","1596.686931333352","1596.686931333352"
"85000","","","","","","","","","","","","","","","","","","","","","","","","","","","","897.0520681158778","897.0520681158778","897.0520681158778","1403.400044941869","1403.400044941869","1403.400044941869","888.9332048511897","888.9332048511897","888.9332048511897"
"90000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1084.9305492551473","1084.9305492551473","1084.9305492551473","1417.6091193842549","1417.6091193842549","1417.6091193842549","1309.0305199550749","1309.0305199550749","1309.0305199550749"
"95000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1439.4204794832847","1439.4204794832847","1439.4204794832847","1251.0503736642108","1251.0503736642108","1251.0503736642108","1531.7347398666177","1531.7347398666177","1531.7347398666177"
"100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1065.6597701458488","1065.6597701458488","1065.6597701458488","1421.197580935643","1421.197580935643","1421.197580935643","1006.909160674717","1006.909160674717","1006.909160674717"
"105000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1145.7106003415074","1145.7106003415074","1145.7106003415074","1007.191736358129","1007.191736358129","1007.191736358129","1298.4477158670197","1298.4477158670197","1298.4477158670197"
