"Step","2025-05-15_13-42-27_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed0 - eval/success rate","2025-05-15_13-42-27_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed0 - eval/success rate__MIN","2025-05-15_13-42-27_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed0 - eval/success rate__MAX","2025-05-15_05-45-54_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed3407 - eval/success rate","2025-05-15_05-45-54_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed3407 - eval/success rate__MIN","2025-05-15_05-45-54_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed3407 - eval/success rate__MAX","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MIN","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MAX","2025-05-05_04-37-30_square_ft_gaussian_mlp_img_ta4_3407 - success rate - eval","2025-05-05_04-37-30_square_ft_gaussian_mlp_img_ta4_3407 - success rate - eval__MIN","2025-05-05_04-37-30_square_ft_gaussian_mlp_img_ta4_3407 - success rate - eval__MAX","2025-05-04_16-39-38_square_ft_gaussian_mlp_img_ta4_0 - success rate - eval","2025-05-04_16-39-38_square_ft_gaussian_mlp_img_ta4_0 - success rate - eval__MIN","2025-05-04_16-39-38_square_ft_gaussian_mlp_img_ta4_0 - success rate - eval__MAX","2025-05-03_17-45-00_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed42 - eval/success rate","2025-05-03_17-45-00_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed42 - eval/success rate__MIN","2025-05-03_17-45-00_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed42 - eval/success rate__MAX","2025-04-30_00-19-09_square_ft_gaussian_mlp_img_ta4_42 - success rate - eval","2025-04-30_00-19-09_square_ft_gaussian_mlp_img_ta4_42 - success rate - eval__MIN","2025-04-30_00-19-09_square_ft_gaussian_mlp_img_ta4_42 - success rate - eval__MAX","2025-04-25_23-20-30_square_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate","2025-04-25_23-20-30_square_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate__MIN","2025-04-25_23-20-30_square_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate__MAX","2025-04-25_23-09-10_square_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate","2025-04-25_23-09-10_square_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate__MIN","2025-04-25_23-09-10_square_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate__MAX","2025-04-25_22-54-55_square_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate","2025-04-25_22-54-55_square_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate__MIN","2025-04-25_22-54-55_square_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate__MAX","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate__MIN","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate__MAX","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MIN","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MAX"
"220","0.715","0.715","0.715","0.615","0.615","0.615","","","","0.115","0.115","0.115","0.18","0.18","0.18","0.755","0.755","0.755","0.14","0.14","0.14","0.625","0.625","0.625","0.67","0.67","0.67","0.785","0.785","0.785","0.665","0.665","0.665","0.685","0.685","0.685"
"221","","","","","","","0.735","0.735","0.735","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"230","0.655","0.655","0.655","0.67","0.67","0.67","","","","0.14","0.14","0.14","0.22","0.22","0.22","0.7","0.7","0.7","0.115","0.115","0.115","0.665","0.665","0.665","0.7","0.7","0.7","0.765","0.765","0.765","0.67","0.67","0.67","0.735","0.735","0.735"
"231","","","","","","","0.635","0.635","0.635","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240","0.7","0.7","0.7","0.705","0.705","0.705","","","","0.2","0.2","0.2","0.185","0.185","0.185","0.74","0.74","0.74","0.135","0.135","0.135","0.675","0.675","0.675","0.67","0.67","0.67","0.76","0.76","0.76","0.755","0.755","0.755","0.745","0.745","0.745"
"241","","","","","","","0.695","0.695","0.695","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"250","0.655","0.655","0.655","0.67","0.67","0.67","","","","0.18","0.18","0.18","0.195","0.195","0.195","0.7","0.7","0.7","0.155","0.155","0.155","0.665","0.665","0.665","0.7","0.7","0.7","0.81","0.81","0.81","0.655","0.655","0.655","0.705","0.705","0.705"
"251","","","","","","","0.665","0.665","0.665","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"260","0.73","0.73","0.73","0.675","0.675","0.675","","","","0.195","0.195","0.195","0.2","0.2","0.2","0.745","0.745","0.745","0.125","0.125","0.125","0.695","0.695","0.695","0.725","0.725","0.725","0.765","0.765","0.765","0.67","0.67","0.67","0.6","0.6","0.6"
"261","","","","","","","0.73","0.73","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"270","0.73","0.73","0.73","0.715","0.715","0.715","","","","0.17","0.17","0.17","0.24","0.24","0.24","0.74","0.74","0.74","0.21","0.21","0.21","0.725","0.725","0.725","0.67","0.67","0.67","0.895","0.895","0.895","0.695","0.695","0.695","0.66","0.66","0.66"
"271","","","","","","","0.715","0.715","0.715","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"280","0.77","0.77","0.77","0.61","0.61","0.61","","","","0.14","0.14","0.14","0.18","0.18","0.18","0.775","0.775","0.775","0.115","0.115","0.115","0.77","0.77","0.77","0.705","0.705","0.705","0.8","0.8","0.8","0.71","0.71","0.71","0.66","0.66","0.66"
"281","","","","","","","0.71","0.71","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"290","0.76","0.76","0.76","0.715","0.715","0.715","","","","0.18","0.18","0.18","0.21","0.21","0.21","0.745","0.745","0.745","0.18","0.18","0.18","0.755","0.755","0.755","0.75","0.75","0.75","0.81","0.81","0.81","0.71","0.71","0.71","0.715","0.715","0.715"
"291","","","","","","","0.75","0.75","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"300","0.78","0.78","0.78","0.745","0.745","0.745","","","","0.155","0.155","0.155","0.21","0.21","0.21","0.795","0.795","0.795","0.195","0.195","0.195","0.795","0.795","0.795","0.755","0.755","0.755","0.8","0.8","0.8","0.745","0.745","0.745","0.75","0.75","0.75"
"301","","","","","","","0.775","0.775","0.775","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"311","","","","","","","0.69","0.69","0.69","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"321","","","","","","","0.74","0.74","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"331","","","","","","","0.735","0.735","0.735","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"341","","","","","","","0.715","0.715","0.715","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"351","","","","","","","0.72","0.72","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"361","","","","","","","0.75","0.75","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"371","","","","","","","0.725","0.725","0.725","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"381","","","","","","","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"391","","","","","","","0.765","0.765","0.765","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"401","","","","","","","0.795","0.795","0.795","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"411","","","","","","","0.79","0.79","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","",""
