"Step","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward__MIN","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward__MAX","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward__MIN","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward__MAX","2025-05-08_23-04-13_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_3407 - eval/avg episode reward","2025-05-08_23-04-13_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_3407 - eval/avg episode reward__MIN","2025-05-08_23-04-13_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_3407 - eval/avg episode reward__MAX","2025-05-08_23-04-05_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_42 - eval/avg episode reward","2025-05-08_23-04-05_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_42 - eval/avg episode reward__MIN","2025-05-08_23-04-05_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_42 - eval/avg episode reward__MAX","2025-05-08_23-03-55_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_0 - eval/avg episode reward","2025-05-08_23-03-55_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_0 - eval/avg episode reward__MIN","2025-05-08_23-03-55_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td1_tdf1_0 - eval/avg episode reward__MAX","2025-05-08_23-03-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed3407 - eval/avg episode reward","2025-05-08_23-03-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed3407 - eval/avg episode reward__MIN","2025-05-08_23-03-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed3407 - eval/avg episode reward__MAX","2025-05-08_23-03-41_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed42 - eval/avg episode reward","2025-05-08_23-03-41_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed42 - eval/avg episode reward__MIN","2025-05-08_23-03-41_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed42 - eval/avg episode reward__MAX","2025-05-08_23-03-33_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed0 - eval/avg episode reward","2025-05-08_23-03-33_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed0 - eval/avg episode reward__MIN","2025-05-08_23-03-33_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed0 - eval/avg episode reward__MAX","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX"
"130","2.9125","2.9125","2.9125","2.975","2.975","2.975","2.5","2.5","2.5","2.575","2.575","2.575","2.425","2.425","2.425","1.9875","1.9875","1.9875","2","2","2","2.95","2.95","2.95","3.9740259740259742","3.9740259740259742","3.9740259740259742"
"140","2.9875","2.9875","2.9875","2.975","2.975","2.975","2.6","2.6","2.6","2.65","2.65","2.65","2.4375","2.4375","2.4375","2","2","2","1.9625","1.9625","1.9625","2.9375","2.9375","2.9375","3.981012658227848","3.981012658227848","3.981012658227848"
"150","2.9875","2.9875","2.9875","2.975","2.975","2.975","2.55","2.55","2.55","2.625","2.625","2.625","2.5625","2.5625","2.5625","2","2","2","2","2","2","2.975","2.975","2.975","3.9426751592356686","3.9426751592356686","3.9426751592356686"
"160","2.9875","2.9875","2.9875","2.9625","2.9625","2.9625","2.525","2.525","2.525","2.675","2.675","2.675","2.575","2.575","2.575","2.0125","2.0125","2.0125","2","2","2","2.95","2.95","2.95","3.9685534591194966","3.9685534591194966","3.9685534591194966"
"170","2.975","2.975","2.975","2.8875","2.8875","2.8875","2.7875","2.7875","2.7875","2.675","2.675","2.675","2.4375","2.4375","2.4375","2","2","2","2","2","2","2.9375","2.9375","2.9375","3.9358974358974357","3.9358974358974357","3.9358974358974357"
"180","2.9875","2.9875","2.9875","2.975","2.975","2.975","2.6375","2.6375","2.6375","2.5625","2.5625","2.5625","2.5375","2.5375","2.5375","2.0125","2.0125","2.0125","2","2","2","2.9375","2.9375","2.9375","3.981132075471698","3.981132075471698","3.981132075471698"
"190","2.975","2.975","2.975","2.9875","2.9875","2.9875","2.575","2.575","2.575","2.6125","2.6125","2.6125","2.6375","2.6375","2.6375","2.0125","2.0125","2.0125","2","2","2","2.9875","2.9875","2.9875","3.981366459627329","3.981366459627329","3.981366459627329"
"200","2.9625","2.9625","2.9625","2.9875","2.9875","2.9875","2.7","2.7","2.7","2.6875","2.6875","2.6875","2.775","2.775","2.775","2.025","2.025","2.025","2","2","2","2.9375","2.9375","2.9375","3.963636363636364","3.963636363636364","3.963636363636364"
"210","2.9875","2.9875","2.9875","2.9875","2.9875","2.9875","2.7","2.7","2.7","2.75","2.75","2.75","2.7375","2.7375","2.7375","2.0625","2.0625","2.0625","2","2","2","2.9625","2.9625","2.9625","3.970059880239521","3.970059880239521","3.970059880239521"
"220","3","3","3","3","3","3","2.7","2.7","2.7","2.7375","2.7375","2.7375","2.6875","2.6875","2.6875","2.1375","2.1375","2.1375","1.9875","1.9875","1.9875","2.975","2.975","2.975","3.9883040935672516","3.9883040935672516","3.9883040935672516"
"230","2.95","2.95","2.95","2.95","2.95","2.95","2.75","2.75","2.75","2.675","2.675","2.675","2.725","2.725","2.725","2.175","2.175","2.175","1.975","1.975","1.975","2.975","2.975","2.975","3.988888888888889","3.988888888888889","3.988888888888889"
"240","3","3","3","3","3","3","2.4875","2.4875","2.4875","2.7125","2.7125","2.7125","2.675","2.675","2.675","2.2625","2.2625","2.2625","2","2","2","3","3","3","3.989010989010989","3.989010989010989","3.989010989010989"
"250","2.9625","2.9625","2.9625","2.975","2.975","2.975","2.6375","2.6375","2.6375","2.7375","2.7375","2.7375","2.75","2.75","2.75","2.2","2.2","2.2","2","2","2","2.9625","2.9625","2.9625","3.957894736842105","3.957894736842105","3.957894736842105"
"260","3","3","3","3","3","3","2.7625","2.7625","2.7625","2.5875","2.5875","2.5875","2.75","2.75","2.75","2.1875","2.1875","2.1875","1.975","1.975","1.975","2.9625","2.9625","2.9625","3.9744897959183674","3.9744897959183674","3.9744897959183674"
"270","2.975","2.975","2.975","2.9625","2.9625","2.9625","2.5625","2.5625","2.5625","2.7","2.7","2.7","2.75","2.75","2.75","2.275","2.275","2.275","1.9875","1.9875","1.9875","2.9625","2.9625","2.9625","3.96875","3.96875","3.96875"
"280","2.9875","2.9875","2.9875","3","3","3","2.7","2.7","2.7","2.675","2.675","2.675","2.7375","2.7375","2.7375","2.3125","2.3125","2.3125","1.9875","1.9875","1.9875","2.9875","2.9875","2.9875","3.9794871794871796","3.9794871794871796","3.9794871794871796"
"290","3","3","3","3","3","3","2.65","2.65","2.65","2.65","2.65","2.65","2.7375","2.7375","2.7375","2.25","2.25","2.25","1.9875","1.9875","1.9875","2.9875","2.9875","2.9875","3.9536082474226806","3.9536082474226806","3.9536082474226806"
"300","2.9625","2.9625","2.9625","3","3","3","2.7875","2.7875","2.7875","2.625","2.625","2.625","2.7875","2.7875","2.7875","2.3375","2.3375","2.3375","2","2","2","2.975","2.975","2.975","3.984536082474227","3.984536082474227","3.984536082474227"
