"Step","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MIN","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MAX","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MIN","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MAX","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX"
"230","","","","","","","3.95","3.95","3.95","3.825","3.825","3.825","","","","3.8987341772151898","3.8987341772151898","3.8987341772151898","3.9808917197452227","3.9808917197452227","3.9808917197452227","3.9559748427672954","3.9559748427672954","3.9559748427672954","3.953757225433526","3.953757225433526","3.953757225433526"
"240","","","","","","","3.725","3.725","3.725","3.775","3.775","3.775","","","","3.91875","3.91875","3.91875","3.8843537414965987","3.8843537414965987","3.8843537414965987","3.99375","3.99375","3.99375","3.879120879120879","3.879120879120879","3.879120879120879"
"250","","","","","","","3.95","3.95","3.95","3.775","3.775","3.775","","","","3.9875","3.9875","3.9875","3.645390070921986","3.645390070921986","3.645390070921986","3.957055214723926","3.957055214723926","3.957055214723926","3.908108108108108","3.908108108108108","3.908108108108108"
"260","","","","","","","3.5","3.5","3.5","3.75","3.75","3.75","","","","","","","3.929936305732484","3.929936305732484","3.929936305732484","","","","3.9574468085106385","3.9574468085106385","3.9574468085106385"
"270","","","","","","","3.925","3.925","3.925","3.9","3.9","3.9","","","","","","","3.8917197452229297","3.8917197452229297","3.8917197452229297","","","","3.9473684210526314","3.9473684210526314","3.9473684210526314"
"280","","","","","","","3.875","3.875","3.875","3.825","3.825","3.825","","","","","","","3.968152866242038","3.968152866242038","3.968152866242038","","","","3.9565217391304346","3.9565217391304346","3.9565217391304346"
"290","","","","","","","3.55","3.55","3.55","3.575","3.575","3.575","","","","","","","3.8987341772151898","3.8987341772151898","3.8987341772151898","","","","3.9742268041237114","3.9742268041237114","3.9742268041237114"
"300","","","","","","","3.5","3.5","3.5","3.775","3.775","3.775","","","","","","","","","","","","","3.9414893617021276","3.9414893617021276","3.9414893617021276"
"5000","0","0","0","0","0","0","","","","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","","","","","",""
"10000","0.42857142857142855","0.42857142857142855","0.42857142857142855","0","0","0","","","","","","","0","0","0","","","","","","","","","","","",""
"15000","0","0","0","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","","","","","",""
"20000","0","0","0","0","0","0","","","","","","","0","0","0","","","","","","","","","","","",""
"25000","0.7142857142857143","0.7142857142857143","0.7142857142857143","0","0","0","","","","","","","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","","","","","",""
"30000","0.8571428571428571","0.8571428571428571","0.8571428571428571","0","0","0","","","","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","","","","","",""
"35000","0.14285714285714285","0.14285714285714285","0.14285714285714285","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","0.42857142857142855","0.42857142857142855","0.42857142857142855","","","","","","","","","","","",""
"40000","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","0","0","0","","","","","","","","","","","",""
"45000","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","0.42857142857142855","0.42857142857142855","0.42857142857142855","","","","","","","","","","","",""
"50000","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","","","","","","","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","","","","","",""
"55000","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","0.5714285714285714","0.5714285714285714","0.5714285714285714","","","","","","","","","","","",""
