"Step","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval__MAX","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward__MIN","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward__MAX"
"45000","904.6896242153159","904.6896242153159","904.6896242153159","988.4585384887725","988.4585384887725","988.4585384887725","1109.8829775872136","1109.8829775872136","1109.8829775872136","","","","","","","","","","","","","","","","","","","","",""
"50000","1106.4697051501412","1106.4697051501412","1106.4697051501412","1214.212664813002","1214.212664813002","1214.212664813002","1170.7429251770486","1170.7429251770486","1170.7429251770486","","","","","","","","","","","","","","","","","","","","",""
"55000","1330.8010190960854","1330.8010190960854","1330.8010190960854","836.5061870958834","836.5061870958834","836.5061870958834","1200.7138546397377","1200.7138546397377","1200.7138546397377","","","","","","","","","","","","","","","","","","","","",""
"60000","803.7060773854593","803.7060773854593","803.7060773854593","922.2201963718411","922.2201963718411","922.2201963718411","825.594836850553","825.594836850553","825.594836850553","","","","","","","","","","","","","","","","","","","","",""
"65000","890.2504590997772","890.2504590997772","890.2504590997772","960.8049988408214","960.8049988408214","960.8049988408214","999.9192384884952","999.9192384884952","999.9192384884952","","","","","","","","","","","","","","","","","","","","",""
"70000","1216.0808584376814","1216.0808584376814","1216.0808584376814","1085.7376745671327","1085.7376745671327","1085.7376745671327","1200.481793969103","1200.481793969103","1200.481793969103","","","","","","","","","","","","","","","","","","","","",""
"75000","1998.762272110255","1998.762272110255","1998.762272110255","1066.3379446740519","1066.3379446740519","1066.3379446740519","1137.2171503783254","1137.2171503783254","1137.2171503783254","","","","","","","","","","","","","","","","","","","","",""
"80000","1596.686931333352","1596.686931333352","1596.686931333352","1442.3757494530876","1442.3757494530876","1442.3757494530876","972.1772759825096","972.1772759825096","972.1772759825096","","","","","","","","","","","","","","","","","","","","",""
"85000","888.9332048511897","888.9332048511897","888.9332048511897","1403.400044941869","1403.400044941869","1403.400044941869","897.0520681158778","897.0520681158778","897.0520681158778","","","","","","","","","","","","","","","","","","","","",""
"90000","1309.0305199550749","1309.0305199550749","1309.0305199550749","1417.6091193842549","1417.6091193842549","1417.6091193842549","1084.9305492551473","1084.9305492551473","1084.9305492551473","","","","","","","","","","","","","","","","","","","","",""
"95000","1531.7347398666177","1531.7347398666177","1531.7347398666177","1251.0503736642108","1251.0503736642108","1251.0503736642108","1439.4204794832847","1439.4204794832847","1439.4204794832847","","","","","","","","","","","","","","","","","","","","",""
"100000","1006.909160674717","1006.909160674717","1006.909160674717","1421.197580935643","1421.197580935643","1421.197580935643","1065.6597701458488","1065.6597701458488","1065.6597701458488","","","","","","","","","","","","","","","","","","","","",""
"105000","1298.4477158670197","1298.4477158670197","1298.4477158670197","1007.191736358129","1007.191736358129","1007.191736358129","1145.7106003415074","1145.7106003415074","1145.7106003415074","","","","","","","","","","","","","","","","","","","","",""
"110000","996.8541524162623","996.8541524162623","996.8541524162623","963.4666731801871","963.4666731801871","963.4666731801871","1509.7251537727843","1509.7251537727843","1509.7251537727843","","","","","","","","","","","","","","","","","","","","",""
"115000","1002.1442316926601","1002.1442316926601","1002.1442316926601","1076.6531191397235","1076.6531191397235","1076.6531191397235","1555.004232668826","1555.004232668826","1555.004232668826","","","","","","","","","","","","","","","","","","","","",""
"120000","1163.2829879634678","1163.2829879634678","1163.2829879634678","1258.180691486344","1258.180691486344","1258.180691486344","756.2691641264165","756.2691641264165","756.2691641264165","","","","","","","","","","","","","","","","","","","","",""
"125000","1025.7555156194899","1025.7555156194899","1025.7555156194899","1574.7041303257602","1574.7041303257602","1574.7041303257602","1161.0503841288246","1161.0503841288246","1161.0503841288246","","","","","","","","","","","","","","","","","","","","",""
