"Step","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-01_14-00-00_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-01_14-00-00_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-01_14-00-00_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-04-28_21-53-42_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-04-28_21-53-42_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-04-28_21-53-42_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-04-28_21-53-30_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-04-28_21-53-30_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-04-28_21-53-30_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-04-28_21-52-13_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-04-28_21-52-13_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-04-28_21-52-13_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","15-03-59_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","15-03-59_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","15-03-59_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","23-55-21_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","23-55-21_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","23-55-21_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","23-39-24_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","23-39-24_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","23-39-24_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX"
"200","","","","","","","","","","2825.1438403732054","2825.1438403732054","2825.1438403732054","2829.7629947909995","2829.7629947909995","2829.7629947909995","3016.528405155153","3016.528405155153","3016.528405155153","2665.5365771395","2665.5365771395","2665.5365771395","2661.4031110329547","2661.4031110329547","2661.4031110329547","2673.0182431328967","2673.0182431328967","2673.0182431328967","2565.724049712196","2565.724049712196","2565.724049712196","2591.8190223413744","2591.8190223413744","2591.8190223413744","2589.551309088793","2589.551309088793","2589.551309088793"
"210","","","","","","","","","","2901.2462279590136","2901.2462279590136","2901.2462279590136","2793.05623878868","2793.05623878868","2793.05623878868","2974.2963600600233","2974.2963600600233","2974.2963600600233","2755.3961124252755","2755.3961124252755","2755.3961124252755","2669.387025532748","2669.387025532748","2669.387025532748","2635.7224067665634","2635.7224067665634","2635.7224067665634","2571.094907177991","2571.094907177991","2571.094907177991","2598.2300784707127","2598.2300784707127","2598.2300784707127","2611.0185935473814","2611.0185935473814","2611.0185935473814"
"220","","","","","","","","","","2939.942407429179","2939.942407429179","2939.942407429179","2853.6713414542305","2853.6713414542305","2853.6713414542305","3014.0847569818716","3014.0847569818716","3014.0847569818716","2778.808249110064","2778.808249110064","2778.808249110064","2699.2577120885444","2699.2577120885444","2699.2577120885444","2642.371850595441","2642.371850595441","2642.371850595441","2584.8381553517806","2584.8381553517806","2584.8381553517806","2597.072391138342","2597.072391138342","2597.072391138342","2621.3970486909498","2621.3970486909498","2621.3970486909498"
"230","","","","","","","","","","2937.549660858912","2937.549660858912","2937.549660858912","2880.5345797580894","2880.5345797580894","2880.5345797580894","2985.8003120090457","2985.8003120090457","2985.8003120090457","2802.6199479938887","2802.6199479938887","2802.6199479938887","2719.312215644307","2719.312215644307","2719.312215644307","2651.8343239293804","2651.8343239293804","2651.8343239293804","2544.8096902287116","2544.8096902287116","2544.8096902287116","2677.0516833753677","2677.0516833753677","2677.0516833753677","2591.6287309560175","2591.6287309560175","2591.6287309560175"
"240","","","","","","","","","","2926.015374435873","2926.015374435873","2926.015374435873","2876.370441173349","2876.370441173349","2876.370441173349","3008.545997496858","3008.545997496858","3008.545997496858","2800.3563691540126","2800.3563691540126","2800.3563691540126","2739.7654481049954","2739.7654481049954","2739.7654481049954","2657.824446718249","2657.824446718249","2657.824446718249","2564.9273916665543","2564.9273916665543","2564.9273916665543","2720.635134220481","2720.635134220481","2720.635134220481","2602.035259399298","2602.035259399298","2602.035259399298"
"250","","","","","","","","","","2977.141116824508","2977.141116824508","2977.141116824508","2903.931562520974","2903.931562520974","2903.931562520974","3013.7070367036395","3013.7070367036395","3013.7070367036395","2810.4723093950893","2810.4723093950893","2810.4723093950893","2791.2891712467413","2791.2891712467413","2791.2891712467413","2713.3970360393077","2713.3970360393077","2713.3970360393077","2500.782153016388","2500.782153016388","2500.782153016388","2762.8173458667293","2762.8173458667293","2762.8173458667293","2581.1581230268634","2581.1581230268634","2581.1581230268634"
"260","","","","","","","","","","3004.631007338162","3004.631007338162","3004.631007338162","2860.7951939223735","2860.7951939223735","2860.7951939223735","3025.2759122433517","3025.2759122433517","3025.2759122433517","2871.0556118624963","2871.0556118624963","2871.0556118624963","2795.838822581866","2795.838822581866","2795.838822581866","2733.686849716206","2733.686849716206","2733.686849716206","2628.3995738770413","2628.3995738770413","2628.3995738770413","2798.529434102997","2798.529434102997","2798.529434102997","2593.8450015101007","2593.8450015101007","2593.8450015101007"
"270","","","","","","","","","","2975.434543726631","2975.434543726631","2975.434543726631","2846.4151380178473","2846.4151380178473","2846.4151380178473","3051.1943602895826","3051.1943602895826","3051.1943602895826","2892.4891171560434","2892.4891171560434","2892.4891171560434","2800.507729320297","2800.507729320297","2800.507729320297","2711.6125179727655","2711.6125179727655","2711.6125179727655","2684.42859668936","2684.42859668936","2684.42859668936","2821.8270247531254","2821.8270247531254","2821.8270247531254","2627.7338245318124","2627.7338245318124","2627.7338245318124"
"280","","","","","","","","","","2997.538486823687","2997.538486823687","2997.538486823687","2857.20060417879","2857.20060417879","2857.20060417879","3043.1655808960713","3043.1655808960713","3043.1655808960713","2872.119319778309","2872.119319778309","2872.119319778309","2725.554913865889","2725.554913865889","2725.554913865889","2716.8635077610134","2716.8635077610134","2716.8635077610134","2731.040993704466","2731.040993704466","2731.040993704466","2875.7133362536133","2875.7133362536133","2875.7133362536133","2665.1296624951115","2665.1296624951115","2665.1296624951115"
"290","","","","","","","","","","3012.414834753392","3012.414834753392","3012.414834753392","2893.618652570488","2893.618652570488","2893.618652570488","2987.6940419680823","2987.6940419680823","2987.6940419680823","2829.045897864276","2829.045897864276","2829.045897864276","2821.5813683765227","2821.5813683765227","2821.5813683765227","2769.4058868756306","2769.4058868756306","2769.4058868756306","2784.9371678289117","2784.9371678289117","2784.9371678289117","2883.233758607335","2883.233758607335","2883.233758607335","2686.781023065266","2686.781023065266","2686.781023065266"
